,Molecule ChEMBL ID,Smiles
75,CHEMBL226536,[O-][n+]1onc2cc(/C=C\c3ccccc3)ccc21
76,CHEMBL577708,O=C(/C=C/c1ccc2no[n+]([O-])c2c1)c1ccccc1
77,CHEMBL453633,O=[N+]([O-])c1ccc(/C=N/Nc2nccc(C(F)(F)F)n2)cc1
78,CHEMBL4247707,CCOC(=O)/C=C/C(=O)[C@@H](CCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1
79,CHEMBL4247707,CCOC(=O)/C=C/C(=O)[C@@H](CCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1
80,CHEMBL4244656,CCOC(=O)/C=C/C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1
81,CHEMBL4245127,CCOC(=O)/C=C/C(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1
82,CHEMBL4164826,C/C(=N\Nc1nc(-c2ccc3ccccc3c2)cs1)c1ccc(Cl)c(Cl)c1
83,CHEMBL2180344,C/C(COc1ccccc1)=N\N=C1\SC(c2ccccc2)C(=S)N1c1ccccc1
84,CHEMBL2064837,COc1cccc2c1CC/C2=N\Nc1nc(-c2ccc(Cl)cc2)cs1
85,CHEMBL2064837,COc1cccc2c1CC/C2=N\Nc1nc(-c2ccc(Cl)cc2)cs1
86,CHEMBL565655,[O-][n+]1onc2ccc(/C=C\Sc3ccccc3)cc21
87,CHEMBL227002,[O-][n+]1onc2cc(/C=C/c3ccccc3)ccc21
88,CHEMBL3233099,Cc1ccccc1OCCNCCc1nc2ccccc2[nH]1
89,CHEMBL3233110,Nc1ccccc1NC(=O)CCNC(=O)COc1ccccc1[N+](=O)[O-]
90,CHEMBL568488,O=S(=O)(/C=C/c1ccc2no[n+]([O-])c2c1)c1ccccc1
91,CHEMBL565655,[O-][n+]1onc2ccc(/C=C\Sc3ccccc3)cc21
92,CHEMBL2064836,Cc1cccc2c1CC/C2=N\Nc1nc(-c2ccc(Cl)cc2)cs1
93,CHEMBL474332,COc1ccc2c(c1)/C(=N/NC(N)=S)CC2
94,CHEMBL241622,[O-][n+]1onc2cc(/C=C/Sc3ccccc3)ccc21
95,CHEMBL226536,[O-][n+]1onc2cc(/C=C\c3ccccc3)ccc21
96,CHEMBL1276231,CC1S/C(=N/N=C/CSc2ccccc2)NC1=O
97,CHEMBL1276197,NC(=S)N/N=C/CSc1ccccc1
98,CHEMBL1277144,CCC1S/C(=N/N=C(\C)CSc2ccc(C)cc2)NC1=O
99,CHEMBL91704,CN1CCN(C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)CC1
100,CHEMBL510327,Cc1ccccc1/C=N/Nc1nccc(C(F)(F)F)n1
101,CHEMBL453634,COc1ccccc1/C=N/Nc1nc(C)cc(C(F)(F)F)n1
102,CHEMBL568613,O=S(=O)(/C=C\c1ccc2no[n+]([O-])c2c1)c1ccc(F)cc1
103,CHEMBL552244,Nc1ncccc1C(=O)NCC(=O)NC1CCCCC1
104,CHEMBL560043,Nc1ccccc1-c1nnc(C(=O)Nc2cc(-c3cccs3)[nH]n2)o1
105,CHEMBL554709,NC(=O)c1ccsc1NC(=O)COC(=O)c1cc(Br)ccc1N
106,CHEMBL2158131,COc1cc(/C=N/NC(=O)c2nc(-c3ccc(F)cc3)no2)ccc1O
107,CHEMBL2158237,COc1ccc(-c2noc(C(=O)N/N=C/c3ccc4c(c3)OCO4)n2)cc1
108,CHEMBL568312,[O-][n+]1onc2ccc(/C=C/[S+]([O-])c3ccccc3)cc21
109,CHEMBL4279254,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC[C@@H]1C(=O)N1[C@@H](C(=O)OCc2ccccc2)[C@@H]1C(=O)OCc1ccccc1
110,CHEMBL2064842,Cc1ccc(-c2csc(N/N=C3\CCc4cc(C)ccc43)n2)cc1
111,CHEMBL2064832,COc1cc2c(cc1OC)/C(=N/Nc1nc(-c3ccc(C)cc3)cs1)CC2
112,CHEMBL2158234,O=C(N/N=C/c1ccc2c(c1)OCO2)c1nc(-c2ccc(Br)cc2)no1
113,CHEMBL1078778,Cc1nc(-c2cccnc2)sc1C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1
114,CHEMBL1078981,O=C(N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1)c1cc(-c2ccncc2)no1
115,CHEMBL3827864,CCOC(=O)c1c(/N=C2\SC(CC(=O)O)C(=O)N2c2ccccc2)sc2c1CCCC2
116,CHEMBL3826981,CC(C)OC(=O)c1c(/N=C2\SC(CC(=O)O)C(=O)N2c2ccccc2)sc2c1CCCC2
117,CHEMBL3828113,CC(C)OC(=O)c1c(/N=c2\scc(-c3ccccc3)n2-c2ccccc2)sc2c1CCCC2
118,CHEMBL568619,COc1ccc(C(=O)/C=C/c2ccc3no[n+]([O-])c3c2)cc1
119,CHEMBL568613,O=S(=O)(/C=C\c1ccc2no[n+]([O-])c2c1)c1ccc(F)cc1
120,CHEMBL3104704,O=C1/C(=C/c2ccc(Cn3cc(CCO)nn3)cc2)CC/C1=C\c1ccc(Cn2cc(CCO)nn2)cc1
121,CHEMBL274993,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccccc1
122,CHEMBL2158233,O=C(N/N=C/c1ccc2c(c1)OCO2)c1nc(-c2ccc(Cl)cc2)no1
123,CHEMBL2158135,COc1cc(/C=N/NC(=O)c2nc(-c3ccc(O)cc3)no2)ccc1O
124,CHEMBL2158130,COc1cc(/C=N/NC(=O)c2nc(-c3ccc(C)cc3)no2)ccc1O
125,CHEMBL2158138,Cc1ccc(-c2noc(C(=O)N/N=C/c3ccc4c(c3)OCO4)n2)cc1
126,CHEMBL2158132,COc1cc(/C=N/NC(=O)c2nc(-c3ccc(Cl)cc3)no2)ccc1O
127,CHEMBL3827672,CCOC(=O)c1c(/N=C2\SCC(=O)N2c2ccccc2)sc2c1CCCC2
128,CHEMBL2180353,C/C(COc1ccccc1)=N\Nc1nc(-c2ccc(C)cc2)cs1
129,CHEMBL90512,C/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1
130,CHEMBL1276302,Cc1ccc(SC/C=N/N=C2\NC(=S)C(C)S2)cc1
131,CHEMBL1277057,CCC1S/C(=N/N=C(\C)CSc2ccc(Cl)cc2)NC1=O
132,CHEMBL1276253,CC1S/C(=N/N=C/CCSc2ccc(Cl)cc2)NC1=O
133,CHEMBL1276231,CC1S/C(=N/N=C/CSc2ccccc2)NC1=O
134,CHEMBL1276302,Cc1ccc(SC/C=N/N=C2\NC(=S)C(C)S2)cc1
135,CHEMBL2180664,CCC1S/C(=N/N=C(\C)COc2ccccc2)NC1=O
136,CHEMBL2180344,C/C(COc1ccccc1)=N\N=C1\SC(c2ccccc2)C(=S)N1c1ccccc1
137,CHEMBL2180341,CCC1S/C(=N/N=C(\C)COc2ccccc2)N(c2ccccc2)C1=O
138,CHEMBL274993,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccccc1
139,CHEMBL3104701,O=C1/C(=C/c2cccc3cnccc23)CCC/C1=C\c1cccc2cnccc12
