No,Atom,n,n+1,n-1,fk+,fk-,fk0
27,C,0.01087,0.14045,-0.052329999999999995,0.12958,0.06319999999999999,0.09638999999999999
28,C,-0.11924000000000001,-0.13329000000000002,-0.16096,-0.014050000000000007,0.04171999999999998,0.013834999999999986
29,C,-0.14215,-0.10549000000000001,-0.20426,0.036659999999999984,0.06211,0.04938499999999999
30,C,-0.19065,-0.1864,-0.19856,0.004249999999999976,0.00791,0.006079999999999988
31,C,-0.18975,-0.11130999999999999,-0.31843,0.07844000000000001,0.12868,0.10356
32,C,-0.27771999999999997,-0.27687,-0.29106,0.0008499999999999619,0.013340000000000019,0.00709499999999999
33,S,2.1163,2.11268,2.12,-0.0036199999999997345,-0.0037000000000002586,-0.0036599999999999966
34,C,-0.79519,-0.79297,-0.7983600000000001,0.0022199999999999998,0.003170000000000117,0.0026950000000000585
35,O,-0.9493799999999999,-0.9307700000000001,-0.97055,0.018609999999999793,0.021170000000000133,0.019889999999999963
36,O,-0.94863,-0.93696,-0.9659200000000001,0.011669999999999958,0.01729000000000014,0.014480000000000048
37,C,-0.16018,-0.11709000000000001,-0.19351,0.043089999999999976,0.03333,0.03820999999999999
38,C,-0.12507000000000001,-0.13018,-0.18225,-0.005109999999999976,0.05717999999999998,0.026035000000000003
39,C,-0.20809,-0.18599000000000002,-0.21363000000000001,0.02209999999999998,0.005540000000000017,0.013819999999999999
40,H,0.21569000000000002,0.22796999999999998,0.20759,0.012279999999999958,0.008100000000000024,0.01018999999999999
41,H,0.19876,0.20226,0.19533,0.003500000000000003,0.0034299999999999886,0.003464999999999996
42,H,0.20811,0.21134,0.20554,0.0032300000000000106,0.002569999999999989,0.0029
43,H,0.23146,0.23675,0.23031999999999997,0.005289999999999989,0.0011400000000000299,0.0032150000000000095
44,H,0.41794,0.41998,0.4161,0.0020400000000000418,0.0018399999999999528,0.0019399999999999973
45,H,0.22603,0.23324,0.21988000000000002,0.007209999999999994,0.006149999999999989,0.0066799999999999915
46,H,0.40166999999999997,0.39459,0.41043999999999997,-0.007079999999999975,-0.00877,-0.007924999999999988
47,H,0.12971,0.11903,0.1395,-0.010679999999999995,-0.009790000000000021,-0.010235000000000008
48,H,0.22173,0.21594000000000002,0.22879000000000002,-0.00578999999999999,-0.007060000000000011,-0.006425
49,H,0.21689,0.21485,0.21845,-0.0020399999999999863,-0.0015600000000000058,-0.001799999999999996
50,H,0.20010999999999998,0.20499,0.1972,0.004880000000000023,0.002909999999999996,0.0038950000000000096
51,H,0.18625,0.18445,0.187,-0.001799999999999996,-0.0007500000000000007,-0.0012749999999999984
52,H,0.20535,0.21206,0.19973,0.006709999999999994,0.005620000000000014,0.006165000000000004
53,H,0.2019,0.20831999999999998,0.1961,0.006419999999999981,0.0058,0.0061099999999999904
54,H,0.18736,0.19138,0.18441,0.004019999999999996,0.002950000000000008,0.003485000000000002
55,H,0.19037,0.1882,0.19154000000000002,-0.0021700000000000053,-0.0011700000000000044,-0.0016700000000000048
56,H,0.20488,0.21066999999999997,0.20019,0.005789999999999962,0.00469,0.005239999999999981
57,H,0.20309000000000002,0.19823,0.20769,-0.004860000000000031,-0.004599999999999993,-0.004730000000000012
58,H,0.19917,0.20390999999999998,0.19635999999999998,0.0047399999999999665,0.0028100000000000347,0.0037750000000000006
59,H,0.21263,0.22823000000000002,0.20062,0.015600000000000003,0.01201000000000002,0.013805000000000012
60,H,0.21074,0.22825,0.19856,0.017509999999999998,0.012180000000000024,0.014845000000000011
61,H,0.21274,0.21919,0.21251,0.0064499999999999835,0.00023000000000000798,0.0033399999999999958
62,H,0.19285,0.21420999999999998,0.16774,0.02135999999999999,0.025109999999999993,0.023234999999999992
63,H,0.19702999999999998,0.21619000000000002,0.17859,0.019160000000000038,0.018439999999999984,0.01880000000000001
64,H,0.22213000000000002,0.23171,0.20396,0.009579999999999977,0.01817000000000002,0.013874999999999998
65,H,0.21902,0.23761,0.19494,0.018589999999999995,0.02407999999999999,0.021334999999999993
66,H,0.24105,0.2568,0.21827,0.015749999999999986,0.022779999999999995,0.01926499999999999
67,H,0.23101999999999998,0.2345,0.22671999999999998,0.003480000000000011,0.004299999999999998,0.0038900000000000046
68,H,0.23181999999999997,0.23125,0.2308,-0.0005699999999999594,0.0010199999999999654,0.00022500000000000298
69,H,0.24544000000000002,0.25989,0.22610999999999998,0.01444999999999999,0.01933000000000004,0.016890000000000016
70,H,0.24725,0.25673,0.23056999999999997,0.009480000000000016,0.016680000000000028,0.013080000000000022
71,H,0.22710999999999998,0.24514,0.20995999999999998,0.018030000000000018,0.01715,0.01759000000000001
72,H,0.22979000000000002,0.23639000000000002,0.23192,0.006599999999999995,-0.0021299999999999653,0.0022350000000000148
