No,Atom,n,n+1,n-1,fk+,fk-,fk0
40,C,-0.20737,-0.19697,-0.2259,0.010399999999999993,0.01852999999999999,0.014464999999999992
41,C,-0.15811,-0.13021,-0.23679,0.027900000000000008,0.07868,0.053290000000000004
42,H,0.19881,0.20862,0.18343,0.009810000000000013,0.015379999999999977,0.012594999999999995
43,H,0.20212,0.20606,0.19661,0.003939999999999999,0.005509999999999987,0.004724999999999993
44,H,0.21031,0.21073,0.20903,0.0004200000000000037,0.0012800000000000034,0.0008500000000000035
45,H,0.15749,0.16005,0.15051,0.0025600000000000067,0.006979999999999986,0.0047699999999999965
46,H,0.2045,0.20817,0.1993,0.0036700000000000066,0.005199999999999982,0.0044349999999999945
47,H,0.20638,0.21725,0.1893,0.01086999999999999,0.017080000000000012,0.013975000000000001
48,H,0.19853,0.19642,0.20033,-0.0021100000000000008,-0.001799999999999996,-0.0019549999999999984
49,H,0.18472,0.19997,0.16339,0.015250000000000014,0.021329999999999988,0.01829
50,H,0.18289,0.20195,0.15505,0.019059999999999994,0.027840000000000004,0.02345
51,H,0.21859,0.23293,0.19022,0.014339999999999992,0.028370000000000006,0.021355
52,H,0.22123,0.23559,0.18882,0.014359999999999984,0.03241000000000002,0.023385000000000003
53,H,0.22979,0.25712,0.1876,0.02733000000000002,0.042190000000000005,0.03476000000000001
54,H,0.22647,0.23907,0.20817,0.0126,0.01830000000000001,0.015450000000000005
55,H,0.2366,0.23978,0.23266,0.0031799999999999884,0.003939999999999999,0.0035599999999999937
56,H,0.40434,0.40891,0.39807,0.0045700000000000185,0.006269999999999998,0.005420000000000008
57,H,0.2352,0.24282,0.22977,0.007620000000000016,0.00542999999999999,0.006525000000000003
58,H,0.41434,0.42307,0.41252,0.008730000000000016,0.0018199999999999883,0.005275000000000002
59,H,0.21287,0.22926,0.20551,0.016389999999999988,0.007360000000000005,0.011874999999999997
60,H,0.19466,0.19983,0.2017,0.005170000000000008,-0.007039999999999991,-0.0009349999999999914
61,H,0.21205,0.21721,0.21322,0.005159999999999998,-0.0011700000000000044,0.0019949999999999968
62,H,0.21111,0.2311,0.20411,0.019990000000000008,0.0069999999999999785,0.013494999999999993
63,H,0.20916,0.20944,0.21734,0.0002799999999999747,-0.008179999999999993,-0.003950000000000009
64,H,0.20238,0.22267,0.19775,0.020290000000000002,0.004629999999999995,0.012459999999999999
65,H,0.20518,0.2147,0.20049,0.00952,0.00469,0.007105
66,H,0.20101,0.20927,0.2021,0.008260000000000017,-0.0010900000000000076,0.003585000000000005
