No,Atom,n,n+1,n-1,fk+,fk-,fk0
23,C,-0.26967,-0.26074,-0.29457,0.008929999999999993,0.024899999999999978,0.016914999999999986
24,C,-0.17363,-0.16933,-0.21457,0.004299999999999998,0.040940000000000004,0.02262
25,N,-0.5617,-0.42627,-0.57947,0.13543,0.017770000000000064,0.07660000000000003
26,C,-0.18861,-0.19418,-0.18292,-0.005569999999999992,-0.005690000000000001,-0.005629999999999996
27,C,-0.19315,-0.19501,-0.1942,-0.0018600000000000005,0.0010500000000000231,-0.0004049999999999887
28,N,-0.54934,-0.4346,-0.54185,0.11474000000000006,-0.007489999999999997,0.053625000000000034
29,C,0.86556,0.83746,0.86673,-0.028100000000000014,-0.0011700000000000044,-0.014635000000000009
30,O,-0.66895,-0.63088,-0.68585,0.03807000000000005,0.016899999999999915,0.02748499999999998
31,N,-0.65083,-0.56546,-0.65175,0.08537000000000006,0.0009200000000000319,0.043145000000000044
32,C,0.17432,0.18588,0.1852,0.011559999999999987,-0.01088,0.0003399999999999931
33,C,-0.24439,-0.20026,-0.2475,0.04413,0.0031100000000000017,0.023620000000000002
34,C,-0.17983,-0.17613,-0.18666,0.003699999999999981,0.006830000000000003,0.005264999999999992
35,C,-0.23032,-0.13651,-0.24422,0.09381,0.013899999999999996,0.053855
36,C,-0.18758,-0.17847,-0.19164,0.009110000000000007,0.004060000000000008,0.0065850000000000075
37,C,-0.24651,-0.2074,-0.2458,0.039110000000000006,-0.0007100000000000162,0.019199999999999995
38,C,-0.19396,-0.19822,-0.19999,-0.004260000000000014,0.006030000000000008,0.0008849999999999969
39,C,-0.20041,-0.20435,-0.19539,-0.003939999999999999,-0.005019999999999997,-0.004479999999999998
40,C,-0.21089,-0.20845,-0.21355,0.0024399999999999977,0.0026599999999999957,0.0025499999999999967
41,C,-0.155,-0.14894,-0.15866,0.00606000000000001,0.0036599999999999966,0.004860000000000003
42,H,0.22836,0.23433,0.22406,0.005970000000000003,0.004299999999999998,0.005135000000000001
43,H,0.21758,0.22325,0.21488,0.005670000000000008,0.002700000000000008,0.004185000000000008
44,H,0.21802,0.21719,0.22414,-0.0008299999999999974,-0.006120000000000014,-0.003475000000000006
45,H,0.22568,0.22595,0.23094,0.0002700000000000202,-0.005260000000000015,-0.0024949999999999972
46,H,0.20273,0.20612,0.19858,0.003390000000000004,0.004149999999999987,0.0037699999999999956
47,H,0.19782,0.20396,0.18907,0.0061400000000000066,0.008750000000000008,0.007445000000000007
48,H,0.20884,0.21426,0.20749,0.005420000000000008,0.00134999999999999,0.003384999999999999
49,H,0.4207,0.40811,0.41801,-0.012590000000000046,0.0026900000000000257,-0.00495000000000001
50,H,0.23658,0.24847,0.21158,0.011889999999999984,0.025000000000000022,0.018445000000000003
51,H,0.23091,0.23278,0.21332,0.0018699999999999828,0.017589999999999995,0.009729999999999989
52,H,0.2591,0.26561,0.23671,0.006510000000000016,0.022389999999999993,0.014450000000000005
53,H,0.2481,0.24421,0.22702,-0.003889999999999977,0.021079999999999988,0.008595000000000005
54,H,0.23274,0.2339,0.2035,0.0011599999999999944,0.029240000000000016,0.015200000000000005
55,H,0.23516,0.24421,0.20551,0.009050000000000002,0.02965000000000001,0.019350000000000006
56,H,0.24214,0.24782,0.22039,0.005680000000000018,0.02174999999999999,0.013715000000000005
57,H,0.20156,0.23184,0.19503,0.03028,0.00652999999999998,0.01840499999999999
58,H,0.20846,0.22939,0.19244,0.020930000000000004,0.016020000000000006,0.018475000000000005
59,H,0.19236,0.22237,0.20674,0.03001000000000001,-0.014380000000000004,0.007815000000000003
60,H,0.2339,0.25862,0.21758,0.02472000000000002,0.01632,0.02052000000000001
61,H,0.39057,0.40626,0.39783,0.015690000000000037,-0.007260000000000044,0.0042149999999999965
62,H,0.24895,0.25827,0.25,0.009319999999999995,-0.0010499999999999954,0.004135
63,H,0.20729,0.22882,0.20052,0.021529999999999994,0.006769999999999998,0.014149999999999996
64,H,0.20806,0.22781,0.20042,0.019750000000000018,0.007640000000000008,0.013695000000000013
65,H,0.20789,0.22974,0.20287,0.02185000000000001,0.005019999999999997,0.013435000000000002
66,H,0.19969,0.21444,0.20532,0.014749999999999985,-0.005629999999999996,0.004559999999999995
