No,Atom,n,n+1,n-1,fk+,fk-,fk0
27,N,-0.6474300000000001,-0.6320899999999999,-0.6633100000000001,0.015340000000000131,0.015880000000000005,0.015610000000000068
28,C,-0.2875,-0.28699,-0.28873000000000004,0.0005099999999999549,0.0012300000000000644,0.0008700000000000097
29,C,0.28276999999999997,0.26832,0.27975,-0.014449999999999963,0.003019999999999967,-0.005714999999999998
30,N,-0.3168,-0.28929,-0.37479,0.027510000000000034,0.057989999999999986,0.04275000000000001
31,N,-0.68534,-0.6832600000000001,-0.6867300000000001,0.0020799999999998597,0.0013900000000001134,0.0017349999999999866
32,C,0.7307,0.7144699999999999,0.72827,-0.016230000000000078,0.0024300000000000432,-0.006900000000000017
33,O,-0.63132,-0.58055,-0.6442100000000001,0.05076999999999998,0.012890000000000068,0.031830000000000025
34,C,-0.0918,-0.15463,-0.09175,-0.06282999999999998,-5.000000000000837e-05,-0.031439999999999996
35,C,-0.39825,-0.3878,-0.39939,0.010450000000000015,0.0011400000000000299,0.005795000000000022
36,C,-0.027569999999999997,-0.057420000000000006,-0.04334,-0.02985000000000001,0.01577,-0.007040000000000005
37,C,-0.18865,-0.18198,-0.18883,0.006670000000000009,0.00017999999999998573,0.0034249999999999975
38,C,-0.19685,-0.18462,-0.22291999999999998,0.012229999999999991,0.026069999999999982,0.019149999999999986
39,C,-0.20955,-0.18323,-0.24377,0.026319999999999982,0.03422,0.03026999999999999
40,C,-0.20425,-0.19505,-0.2025,0.009199999999999986,-0.0017499999999999738,0.003725000000000006
41,C,-0.21038,-0.21075,-0.21916,-0.00036999999999998145,0.008779999999999982,0.004205
42,C,-0.17435,-0.17493,-0.17340999999999998,-0.0005799999999999972,-0.0009400000000000241,-0.0007600000000000107
43,H,0.19891,0.20726999999999998,0.19251,0.008359999999999979,0.006400000000000017,0.007379999999999998
44,H,0.19605,0.19777,0.19472,0.0017199999999999993,0.0013299999999999979,0.0015249999999999986
45,H,0.19646,0.18844,0.20292000000000002,-0.00802,-0.006460000000000021,-0.00724000000000001
46,H,0.20385,0.21263,0.19687000000000002,0.00878000000000001,0.006979999999999986,0.007879999999999998
47,H,0.18756,0.18955,0.18635,0.0019899999999999918,0.0012100000000000166,0.0016000000000000042
48,H,0.21665,0.21871999999999997,0.21534,0.0020699999999999608,0.0013100000000000056,0.0016899999999999832
49,H,0.18470999999999999,0.19088,0.18044000000000002,0.006170000000000009,0.004269999999999968,0.0052199999999999885
50,H,0.18486,0.19309,0.17920999999999998,0.008230000000000015,0.005650000000000016,0.006940000000000016
51,H,0.20615,0.19236,0.21559,-0.013789999999999997,-0.009440000000000004,-0.011615
52,H,0.19637000000000002,0.20569,0.18905,0.009319999999999995,0.007320000000000021,0.008320000000000008
53,H,0.2043,0.2082,0.20209000000000002,0.003899999999999987,0.0022099999999999898,0.0030549999999999883
54,H,0.20464000000000002,0.20243,0.20631,-0.0022100000000000175,-0.001669999999999977,-0.0019399999999999973
55,H,0.1886,0.18509,0.19222999999999998,-0.0035099999999999854,-0.0036299999999999943,-0.00356999999999999
56,H,0.20836,0.22739,0.19691,0.01903000000000002,0.011449999999999988,0.015240000000000004
57,H,0.21827,0.21533000000000002,0.22348,-0.0029399999999999704,-0.00521000000000002,-0.004074999999999995
58,H,0.20285,0.22326999999999997,0.19411,0.020419999999999966,0.008739999999999998,0.014579999999999982
59,H,0.20838,0.20645,0.20335999999999999,-0.001930000000000015,0.0050200000000000244,0.0015450000000000047
60,H,0.2217,0.24570999999999998,0.20395,0.024009999999999976,0.017750000000000016,0.020879999999999996
61,H,0.2087,0.21553000000000003,0.19002,0.0068300000000000305,0.018680000000000002,0.012755000000000016
62,H,0.20969000000000002,0.22263000000000002,0.19007000000000002,0.012940000000000007,0.01962,0.016280000000000003
63,H,0.21393,0.2274,0.19355999999999998,0.013469999999999982,0.020370000000000027,0.016920000000000004
64,H,0.2145,0.2268,0.19418,0.012300000000000005,0.020320000000000005,0.016310000000000005
65,H,0.20439000000000002,0.20618000000000003,0.18749000000000002,0.0017900000000000138,0.0169,0.009345000000000006
66,H,0.20354,0.23729,0.20501,0.03375,-0.001469999999999999,0.01614
67,H,0.19545,0.27518000000000004,0.1807,0.07973000000000002,0.014750000000000013,0.04724000000000002
68,H,0.22760999999999998,0.26164,0.22463000000000002,0.034030000000000005,0.002979999999999955,0.01850499999999998
69,H,0.17737999999999998,0.26503000000000004,0.17404,0.08765000000000006,0.003339999999999982,0.04549500000000002
70,H,0.20163,0.23159000000000002,0.18969,0.029960000000000014,0.011940000000000006,0.02095000000000001
71,H,0.20618000000000003,0.23038000000000003,0.19047999999999998,0.0242,0.015700000000000047,0.019950000000000023
72,H,0.24850999999999998,0.22643000000000002,0.22948000000000002,-0.02207999999999996,0.019029999999999964,-0.0015249999999999986
73,H,0.39921999999999996,0.40487,0.37972,0.005650000000000044,0.019499999999999962,0.012575000000000003
74,H,0.23015,0.24272,0.20167000000000002,0.012569999999999998,0.028479999999999978,0.020524999999999988
75,H,0.26683,0.26661999999999997,0.26039,-0.00021000000000004349,0.006440000000000001,0.003114999999999979
76,H,0.40109,0.4245,0.38863000000000003,0.023409999999999986,0.012459999999999971,0.01793499999999998
77,H,0.23328000000000002,0.32279,0.24811,0.08951,-0.014829999999999982,0.03734000000000001
78,H,0.21597,0.22119,0.20396,0.005220000000000002,0.012009999999999993,0.008614999999999998
79,H,0.20576999999999998,0.22605,0.19609000000000001,0.02028000000000002,0.009679999999999966,0.014979999999999993
80,H,0.20997,0.21393,0.20265999999999998,0.003960000000000019,0.007310000000000011,0.005635000000000015
81,H,0.205,0.2192,0.19107000000000002,0.014200000000000018,0.01392999999999997,0.014064999999999994
82,H,0.20412,0.21884,0.19,0.01472000000000001,0.014119999999999994,0.014420000000000002
