,molregno,chembl_id,mw_freebase,alogp,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,cx_most_apka,cx_most_bpka,cx_logp,cx_logd,molecular_species,full_mwt,aromatic_rings,heavy_atoms,qed_weighted,mw_monoisotopic,full_molformula,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations
161,1441161,CHEMBL2180347,397.5,4.36,6.0,0.0,63.49,7.0,N,0.0,8.87,,4.23,4.22,NEUTRAL,397.5,2.0,28.0,0.51,397.146,C21H23N3O3S,6.0,0.0,0.0
162,1441162,CHEMBL2180348,373.52,4.48,5.0,0.0,54.26,6.0,N,0.0,7.76,,4.53,4.37,NEUTRAL,373.52,1.0,26.0,0.55,373.1824,C20H27N3O2S,5.0,0.0,0.0
163,1441163,CHEMBL2180349,323.42,4.68,5.0,1.0,46.51,6.0,N,0.0,10.34,4.54,5.11,5.1,NEUTRAL,323.42,3.0,23.0,0.53,323.1092,C18H17N3OS,4.0,1.0,0.0
164,1441164,CHEMBL2180350,324.41,4.07,6.0,1.0,59.4,6.0,N,0.0,10.19,4.25,4.28,4.28,NEUTRAL,324.41,3.0,23.0,0.55,324.1045,C17H16N4OS,5.0,1.0,0.0
165,1441165,CHEMBL2180351,324.41,4.07,6.0,1.0,59.4,6.0,N,0.0,10.31,4.53,3.9,3.89,NEUTRAL,324.41,3.0,23.0,0.55,324.1045,C17H16N4OS,5.0,1.0,0.0
166,1441166,CHEMBL2180352,324.41,4.07,6.0,1.0,59.4,6.0,N,0.0,10.33,4.41,3.9,3.89,NEUTRAL,324.41,3.0,23.0,0.55,324.1045,C17H16N4OS,5.0,1.0,0.0
167,1441167,CHEMBL2180353,337.45,4.99,5.0,1.0,46.51,6.0,N,0.0,10.35,4.6,5.63,5.62,NEUTRAL,337.45,3.0,24.0,0.51,337.1249,C19H19N3OS,4.0,1.0,0.0
168,1441168,CHEMBL2180354,263.32,1.66,5.0,1.0,63.05,4.0,N,0.0,7.41,,1.41,1.12,NEUTRAL,263.32,1.0,18.0,0.66,263.0728,C12H13N3O2S,5.0,1.0,0.0
169,1441169,CHEMBL2180355,277.35,2.05,5.0,1.0,63.05,4.0,N,0.0,7.69,,1.98,1.8,NEUTRAL,277.35,1.0,19.0,0.68,277.0885,C13H15N3O2S,5.0,1.0,0.0
170,1441481,CHEMBL2180664,291.38,2.44,5.0,1.0,63.05,5.0,N,0.0,7.83,,2.51,2.37,NEUTRAL,291.38,1.0,20.0,0.67,291.1041,C14H17N3O2S,5.0,1.0,0.0
171,1441482,CHEMBL2180665,305.4,2.68,5.0,1.0,63.05,5.0,N,0.0,7.96,,2.87,2.76,NEUTRAL,305.4,1.0,21.0,0.67,305.1198,C15H19N3O2S,5.0,1.0,0.0
172,1441483,CHEMBL2180666,339.42,3.4,5.0,1.0,63.05,5.0,N,0.0,7.7,,3.35,3.17,NEUTRAL,339.42,2.0,24.0,0.67,339.1041,C18H17N3O2S,5.0,1.0,0.0
173,1441484,CHEMBL2180667,277.35,2.0,5.0,0.0,54.26,4.0,N,0.0,7.34,,1.64,1.31,NEUTRAL,277.35,1.0,19.0,0.62,277.0885,C13H15N3O2S,5.0,0.0,0.0
174,1441485,CHEMBL2180668,291.38,2.39,5.0,0.0,54.26,4.0,N,0.0,7.64,,2.21,2.01,NEUTRAL,291.38,1.0,20.0,0.63,291.1041,C14H17N3O2S,5.0,0.0,0.0
175,1441486,CHEMBL2180669,305.4,2.78,5.0,0.0,54.26,5.0,N,0.0,7.78,,2.73,2.58,NEUTRAL,305.4,1.0,21.0,0.62,305.1198,C15H19N3O2S,5.0,0.0,0.0
176,1441487,CHEMBL2180670,319.43,3.03,5.0,0.0,54.26,5.0,N,0.0,7.91,,3.09,2.98,NEUTRAL,319.43,1.0,22.0,0.62,319.1354,C16H21N3O2S,5.0,0.0,0.0
